type,excel,json,status,source_file,processed_at,session_id,session_dir
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Solstice Gunn Creel Feb-25 Inv_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Solstice Gunn Creel Feb-25 Inv_invoice.json,extracted,Solstice Gunn Creel Feb-25 Inv.pdf,2026-03-06T11:29:39,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Securance- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Securance- Dec 25_invoice.json,extracted,APL- Securance- Dec 25.pdf,2026-03-06T11:29:39,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Specified Arch- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Specified Arch- Dec 25_invoice.json,extracted,APL- Specified Arch- Dec 25.pdf,2026-03-06T11:29:53,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Anthem BC CA CMPLA LLC Feb-25 Inv_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Anthem BC CA CMPLA LLC Feb-25 Inv_invoice.json,extracted,Anthem BC CA CMPLA LLC Feb-25 Inv.pdf,2026-03-06T11:30:00,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\KCL- Unique Tool- Dec 25 (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\KCL- Unique Tool- Dec 25 (1)_invoice.json,extracted,KCL- Unique Tool- Dec 25 (1).pdf,2026-03-06T11:30:14,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Reliance Fairway May 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Reliance Fairway May 25_invoice.json,extracted,Reliance Fairway May 25.pdf,2026-03-06T11:30:27,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Reliance Fairway May 25_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Reliance Fairway May 25_ANGjdJ_invoice.json,extracted,Reliance Fairway May 25_ANGjdJ.pdf,2026-03-06T11:30:30,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Feb 26_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Feb 26_invoice.json,extracted,UHC- SEFL- Feb 26.pdf,2026-03-06T11:30:41,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Securance- Feb 26 (1) (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Securance- Feb 26 (1) (1)_invoice.json,extracted,UHC- Securance- Feb 26 (1) (1).pdf,2026-03-06T11:31:29,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC VU Tech April 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC VU Tech April 25_invoice.json,extracted,UHC VU Tech April 25.pdf,2026-03-06T11:33:52,,
INSURANCE_CLAIMS,C:\Users\INT002\pdf_extractor\Insurance_pdf_extractor-main\backend\outputs\extraction_20260306_113312_3301_Principal-_Gunn_Cree\extracted_schema.xlsx,C:\Users\INT002\pdf_extractor\Insurance_pdf_extractor-main\backend\outputs\extraction_20260306_113312_3301_Principal-_Gunn_Cree\extracted_schema.json,extracted,Principal- Gunn Creel- Dec 25.pdf,2026-03-06T11:35:42,20260306_113312_3301_Principal-_Gunn_Cree,C:\Users\INT002\pdf_extractor\Insurance_pdf_extractor-main\backend\outputs\extraction_20260306_113312_3301_Principal-_Gunn_Cree
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Residential Acceptance Corp- Dec 25 (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Residential Acceptance Corp- Dec 25 (1)_invoice.json,extracted,UHC- Residential Acceptance Corp- Dec 25 (1).pdf,2026-03-06T11:36:19,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Dec 25 (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Dec 25 (1)_invoice.json,extracted,UHC- SEFL- Dec 25 (1).pdf,2026-03-06T11:36:36,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Residential Acceptance Corp- Dec 25 (1)_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Residential Acceptance Corp- Dec 25 (1)_ANGjdJ_invoice.json,extracted,UHC- Residential Acceptance Corp- Dec 25 (1)_ANGjdJ.pdf,2026-03-06T11:36:53,,
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Dec 25 (1)_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Dec 25 (1)_ANGjdJ_invoice.json,extracted,UHC- SEFL- Dec 25 (1)_ANGjdJ.pdf,2026-03-06T11:36:55,,
invoice_poc_extractor,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\pdf_ANGjdJ_eTz_invoice_poc_extractor.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\pdf_ANGjdJ_eTz_invoice_poc_extractor.json,extracted,pdf_ANGjdJ_eTz.pdf,2026-03-06T11:37:08,,
